phase,method,model_name,device,dtype,seed,param_count,param_memory_mb,analytic_flops_fwd_ratio,empirical_flops_fwd,calflops_mflops_per_token,prefill_ms_mean,prefill_ms_std,decode_ms_per_token_mean,decode_ms_per_token_std,throughput_tokens_per_s,prompt_len,gen_tokens,batch_size,ppl_wikitext2,ppl_ptb,ppl_c4,ppl_seq_len,ppl_max_tokens,zero_shot_avg,notes
4,spectralite_rho_keep0.75,facebook/opt-125m,cuda:0,float16,42,104001792,198.36767578125,0.7501987353206866,26794328064,,10.48814935684204,0.19576503978205725,10.187273120880127,0.05594302934518593,98.16169529708311,128,64,1,82.79352569580078,,140.675048828125,512.0,30000.0,,spectralite protect=rho keep_target=0.7502 achieved=0.7502 lambda=0.781250; ridge=0.01; calib=32x512; replaced=72
4,spectralite_rho_keep0.60,facebook/opt-125m,cuda:0,float16,42,91261440,174.0673828125,0.6003432700993676,23532797952,,10.51463680267334,0.21747707477416683,10.146155071258544,0.06719327816455181,98.55950288328863,128,64,1,186.787109375,,756.7313232421875,512.0,30000.0,,spectralite protect=rho keep_target=0.6000 achieved=0.6003 lambda=0.625000; ridge=0.01; calib=32x512; replaced=72
4,spectralite_rho_keep0.45,facebook/opt-125m,cuda:0,float16,42,78516480,149.75830078125,0.45043360433604335,20270088192,,10.602530161539713,0.33576472002805274,10.141940116882324,0.08581192077495393,98.60046386345695,128,64,1,776.6292114257812,,2500.9111328125,512.0,30000.0,,spectralite protect=rho keep_target=0.4498 achieved=0.4504 lambda=0.468750; ridge=0.01; calib=32x512; replaced=72
